linea,estacion,2012,2011,2010,2009,2008,2007,2006,2005,latitude,longitude
3,M A de Quevedo,2663228,9812800,9505020,9321190,9453368,8763600,5747272,#N/A,19.3467,-99.1807
3,Copilco,3610403,14176131,13259563,13247131,12834536,12729073,5103494,13576956,19.3361,-99.1765
3,Universidad,6689154,24351138,21488548,21760008,22384369,22450429,2551058,24418307,19.3244,-99.1739
4,Santa Anita,397231,716332,738876,703595,618382,526706,6804374,6848410,19.4029,-99.1217
4,Jamaica,643037,2477872,2385489,2410545,2408471,2050236,2529546,2528133,19.411,-99.1218
4,Fray Servando,661724,2572786,2430598,2313083,2134686,1634899,2336850,2343646,19.4217,-99.1205
4,Candelaria,600778,2614831,2412763,2279952,1991461,1566034,2320082,2262825,19.429,-99.1209
4,Morelos,734432,2721426,2535630,2426574,2275961,1867743,1939425,1992845,19.4396,-99.1181
4,Canal del Norte,758549,2964595,2906978,2832960,2559061,2047719,1853142,1908270,19.4489,-99.1161
4,Consulado,460434,1452147,1390133,1398605,1334673,1095185,1772917,1795383,19.4579,-99.1139
4,Bondojito,646002,2165132,2048015,1976390,1853246,1450571,1718138,1728884,19.4647,-99.1119
4,Talisman,598777,2014223,1918081,1798508,1620952,1397296,1293626,1312161,19.4741,-99.108
4,Martên Carrera,1728740,7402728,6168970,5621848,6056626,5786725,609167,596438,19.4849,-99.1044
5,Politecnico,3082243,12473208,12541693,12327034,12453800,9748929,27494024,,19.5006,-99.1495
5,Inst. del Petroleo,574006,2031101,1941042,1973664,2078441,1730319,12084748,1926664,19.4908,-99.1472
5,Autobuses del Norte,2168032,8754403,8520357,8761343,8449264,6497754,7864110,,19.4789,-99.1409
5,La Raza,1086204,4032640,3671113,3668032,3633261,2994438,5521808,3354803,19.4686,-99.139
5,Misterios,820234,2936876,2816043,2690958,2701129,2066689,3288567,5407830,19.4633,-99.1308
5,Valle Gomez,422554,1427592,1334323,1385742,1375787,1050315,2930988,1210588,19.4588,-99.1194
5,Consulado,510624,1676005,1327744,1427394,1788209,2720972,2458386,1558183,19.4579,-99.1139
5,Eduardo Molina,751266,2255022,2287814,2267762,2338832,2042683,2133455,1968388,19.4513,-99.1056
